elapsed_s,unix_ns,request_ms,graphics_mhz,memory_mhz,voltage_mv,power_w,temperature_c,utilization_pct,throttle_mask
14.002302977999989,1790456288133960625,3.6198519997014955,2812,16801,915,258.977,55.0,99,4
14.102334202999828,1790456288234023564,3.6793419999412436,2812,16801,915,259.25,55.0,99,4
14.202292128500176,1790456288333942636,3.6166529998808983,2812,16801,915,259.25,55.0,99,4
14.302341339000122,1790456288434014125,3.6680920002254425,2812,16801,915,259.25,55.0,99,4
14.402524432499831,1790456288534417543,4.079279000052338,2812,16801,915,259.25,55.0,99,4
14.502295960000083,1790456288633959237,3.622711999923922,2812,16801,915,259.25,55.0,99,4
14.602465679000034,1790456288734288814,3.9452900000469526,2812,16801,915,259.672,55.0,99,4
14.702511138999853,1790456288834378634,4.054649999943649,2812,16801,915,259.672,55.0,99,4
14.802151752499867,1790456288933654560,3.3296149999841873,2812,16801,915,259.672,55.0,99,4
14.902105622999898,1790456289033556881,3.225175999887142,2812,16801,915,259.672,55.0,99,4
15.001805805500226,1790456289132957376,2.6246010002068942,2812,16801,920,259.672,55.0,99,4
15.101793451000049,1790456289232925927,2.604610000162211,2902,16801,920,263.671,60.0,98,0
15.202171978500246,1790456289333705261,3.352345000166679,2902,16801,920,263.671,60.0,98,0
15.301834256500115,1790456289433040767,2.7014389997930266,2902,16801,920,263.671,60.0,98,0
15.401772497500133,1790456289532915588,2.580700999715191,2902,16801,920,263.671,60.0,98,0
15.502492527000413,1790456289634283168,3.98670000004131,2902,16801,925,263.671,60.0,98,0
15.602559442000256,1790456289734473887,4.140168000049016,2902,16801,925,263.192,49.0,35,4
15.702179415500268,1790456289833723013,3.38375499995891,2902,16801,925,263.192,49.0,35,4
15.80226290050041,1790456289933836833,3.557063000243943,2902,16801,925,263.192,49.0,35,4
15.902643067499866,1790456290034605507,4.283216999738215,2902,16801,925,263.192,49.0,35,4
16.002200811500188,1790456290133744054,3.4085449997292017,2902,16801,930,263.192,49.0,35,4
16.102202262000446,1790456290233770044,3.4228640001856547,2925,16801,930,250.587,61.0,100,0
16.202646658499816,1790456290334668328,4.328597000039736,2925,16801,930,250.587,61.0,100,0
16.301859310500276,1790456290433092890,2.7536990000953665,2925,16801,930,250.587,61.0,100,0
16.40180153099982,1790456290532979822,2.639240000007703,2925,16801,930,250.587,61.0,100,0
16.50232519249994,1790456290634004914,3.6695029998554674,2925,16801,925,250.587,61.0,100,0
16.60204913000007,1790456290733489758,3.18457599996691,2887,16801,925,241.537,59.0,93,0
16.702207024000018,1790456290833754927,3.422503999900073,2887,16801,925,241.537,59.0,93,0
16.801912426500166,1790456290933157082,2.8117889996792655,2887,16801,925,241.537,59.0,93,0
16.902221900000313,1790456291033816137,3.4772940002767427,2887,16801,925,241.537,59.0,93,0
17.001785753499917,1790456291132942544,2.607361000173114,2887,16801,920,241.537,59.0,93,0
17.10178355900007,1790456291232930095,2.602389999992738,2865,16801,920,258.994,61.0,100,0
17.20305928950029,1790456291335488336,5.152911000095628,2865,16801,920,258.994,61.0,100,0
17.302374805000454,1790456291434092697,3.7596819997816056,2865,16801,920,258.994,61.0,100,0
17.40224300150021,1790456291533860489,3.52107300022908,2865,16801,920,258.994,61.0,100,0
17.50234036100028,1790456291634049648,3.715171999829181,2865,16801,920,258.994,61.0,100,0
17.602342801500072,1790456291734045738,3.699510999922495,2857,16801,920,249.17,56.0,99,4
17.702318202000242,1790456291834004789,3.667252000013832,2857,16801,920,249.17,56.0,99,4
17.802344912000535,1790456291934045749,3.694212000027619,2857,16801,920,249.17,56.0,99,4
17.902283193500352,1790456292033932430,3.5972129999208846,2857,16801,920,249.17,56.0,99,4
18.00234792299989,1790456292134071809,3.7297320000106993,2857,16801,915,249.17,56.0,99,4
18.102355013500073,1790456292234085110,3.744490999906702,2805,16801,915,259.765,56.0,99,4
18.202333869000086,1790456292334011671,3.6803620000682713,2805,16801,915,259.765,56.0,99,4
18.302352904000145,1790456292434073631,3.7343519998103147,2805,16801,915,259.765,56.0,99,4
18.40225065550021,1790456292533876813,3.5367729997233255,2805,16801,915,259.765,56.0,99,4
18.50230530050021,1790456292633980282,3.6383429996931227,2805,16801,915,259.765,56.0,99,4
18.60235375550019,1790456292734063852,3.715150999596517,2805,16801,915,266.117,56.0,99,4
18.702316326000073,1790456292833998603,3.6601120000341325,2805,16801,915,266.117,56.0,99,4
18.802260296999975,1790456292933878314,3.524174000176572,2805,16801,915,266.117,56.0,99,4
18.9028368029999,1790456293035025916,4.700324000168621,2805,16801,915,266.117,56.0,99,4
19.002795483499995,1790456293134952237,4.620265000085055,2805,16801,915,266.117,56.0,99,4
19.102322277999974,1790456293234009024,3.6723719999827154,2835,16801,915,258.638,56.0,99,4
19.202381887499996,1790456293334093734,3.7540110001827998,2835,16801,915,258.638,56.0,99,4
19.30231289350013,1790456293433987855,3.652243000033195,2835,16801,915,258.638,56.0,99,4
19.402897694500098,1790456293535101097,4.804242999853159,2835,16801,915,258.638,56.0,99,4
19.50235369400025,1790456293634076795,3.739081999810878,2835,16801,915,258.638,56.0,99,4
